seat,waitlistSeat
"(25,0,25)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(55,35,20)","(0,0,0)"
"(30,16,14)","(0,0,0)"
"(32,14,18)","(0,0,0)"
"(32,14,18)","(0,0,0)"
"(10,4,6)","(0,0,0)"
"(32,12,20)","(0,0,0)"
"(10,2,8)","(0,0,0)"
"(15,5,10)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(16,1,15)","(0,0,0)"
"(20,0,20)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(10,10,0)","(0,0,0)"
"(10,0,10)","(0,0,0)"
"(40,37,3)","(0,0,0)"
"(10,6,4)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(10,10,0)","(0,0,0)"
"(75,41,34)","(0,0,0)"
"(5,3,2)","(0,0,0)"
"(5,3,2)","(0,0,0)"
"(8,0,8)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(5,0,5)","(0,0,0)"
"(75,29,46)","(0,0,0)"
"(20,16,4)","(0,0,0)"
"(20,12,8)","(0,0,0)"
"(10,1,9)","(0,0,0)"
"(35,13,22)","(0,0,0)"
"(16,0,16)","(0,0,0)"
"(8,0,8)","(0,0,0)"
"(8,0,8)","(0,0,0)"
"(65,10,55)","(0,0,0)"
"(50,6,44)","(0,0,0)"
"(50,8,42)","(0,0,0)"
"(50,7,43)","(0,0,0)"
"(250,250,0)","(55,27,28)"
"(250,248,0)","(55,54,1)"
"(250,250,0)","(50,25,25)"
"(100,100,0)","(50,23,27)"
"(250,250,0)","(55,54,1)"
"(250,250,0)","(45,44,1)"
"(51,51,0)","(15,11,4)"
"(15,15,0)","(5,0,5)"
"(175,175,0)","(0,0,0)"
"(25,25,0)","(5,3,2)"
"(25,25,0)","(10,7,3)"
"(25,25,0)","(5,5,0)"
"(25,25,0)","(5,0,5)"
