crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
92686,15,11,4,0,0,0
32376,10,0,10,0,0,0
59071,10,1,9,0,0,0
57755,10,0,10,0,0,0
30681,70,55,15,0,0,0
56849,5,0,5,0,0,0
94998,14,14,0,0,0,0
90109,10,0,10,0,0,0
92717,15,12,3,0,0,0
27740,10,0,10,0,0,0
31664,24,24,0,12,0,12
59072,10,0,10,0,0,0
57402,40,18,22,0,0,0
55707,10,0,10,0,0,0
94999,15,15,0,0,0,0
33630,100,37,63,0,0,0
90103,10,0,10,0,0,0
59568,1,0,1,0,0,0
90887,30,25,5,0,0,0
33734,10,0,10,0,0,0
59073,10,1,9,0,0,0
54317,10,0,10,0,0,0
83252,10,0,10,0,0,0
60150,65,38,27,0,0,0
56598,3,0,3,0,0,0
31665,24,24,0,12,2,10
31371,15,0,15,0,0,0
95000,24,24,0,0,0,0
90888,35,19,16,0,0,0
33340,24,24,0,5,0,5
59074,10,0,10,0,0,0
53497,10,0,10,0,0,0
28147,10,0,10,0,0,0
57447,40,13,27,0,0,0
31370,15,0,15,0,0,0
60918,1,1,0,0,0,0
84902,10,0,10,0,0,0
95001,15,15,0,0,0,0
80393,65,42,23,0,0,0
33341,24,24,0,5,0,5
26350,10,0,10,0,0,0
59075,10,1,9,0,0,0
57443,60,53,7,0,0,0
82880,25,0,25,0,0,0
53498,10,0,10,0,0,0
31367,15,0,15,0,0,0
56655,1,0,1,0,0,0
95002,24,24,0,0,0,0
81866,110,79,31,0,0,0
28134,10,0,10,0,0,0
53853,10,0,10,0,0,0
33653,75,32,43,0,0,0
90228,10,0,10,0,0,0
59076,10,0,10,0,0,0
60862,0,1,0,0,0,0
33342,24,23,1,5,0,5
60472,5,0,5,0,0,0
95003,24,24,0,0,0,0
59077,10,0,10,0,0,0
80120,80,81,0,0,0,0
30928,20,0,20,0,0,0
57271,1,0,1,0,0,0
55960,10,0,10,0,0,0
88543,10,0,10,0,0,0
95004,10,10,0,0,0,0
58308,40,14,26,0,0,0
59078,10,0,10,0,0,0
92856,50,47,3,0,0,0
33631,15,0,15,0,0,0
55855,5,0,5,0,0,0
89507,10,0,10,0,0,0
95005,9,9,0,0,0,0
53499,10,1,9,0,0,0
60279,55,30,25,0,0,0
33042,16,3,13,5,0,5
28128,10,0,10,0,0,0
59079,10,1,9,0,0,0
92859,15,13,2,0,0,0
90819,63,56,7,0,0,0
84847,10,0,10,0,0,0
57181,1,0,1,0,0,0
95007,9,8,1,0,0,0
53500,10,0,10,0,0,0
30929,20,0,20,0,0,0
33040,10,10,0,5,5,0
60280,30,4,26,0,0,0
22814,10,0,10,0,0,0
59080,10,0,10,0,0,0
92861,15,13,2,0,0,0
84151,63,56,7,0,0,0
33343,24,23,1,5,0,5
88577,10,0,10,0,0,0
33632,15,0,15,0,0,0
93511,80,62,18,0,0,0
58671,1,0,1,0,0,0
56365,10,0,10,0,0,0
26238,15,15,0,10,0,10
60218,55,15,40,0,0,0
59081,10,0,10,0,0,0
24213,10,0,10,0,0,0
92863,15,13,2,0,0,0
87378,20,20,0,10,0,10
33344,24,20,4,5,0,5
95008,288,125,163,0,0,0
56896,1,0,1,0,0,0
58691,10,1,9,0,0,0
58873,40,6,34,0,0,0
33038,10,8,2,5,0,5
59082,10,0,10,0,0,0
22505,25,0,25,0,0,0
88808,10,0,10,0,0,0
91709,16,8,8,0,0,0
33345,24,21,3,5,0,5
92745,15,13,2,0,0,0
30901,8,8,0,3,3,0
95009,193,188,5,0,0,0
55592,10,0,10,0,0,0
59874,5,0,5,0,0,0
54479,10,0,10,0,0,0
33552,10,10,0,5,4,1
59083,10,0,10,0,0,0
83235,10,0,10,0,0,0
30630,120,77,43,0,0,0
31383,20,0,20,0,0,0
91711,16,8,8,0,0,0
86307,50,38,12,0,0,0
95010,24,22,2,0,0,0
28233,10,0,10,0,0,0
54063,10,0,10,0,0,0
55347,10,0,10,0,0,0
60025,5,0,5,0,0,0
29364,10,0,10,0,0,0
59084,10,0,10,0,0,0
88064,10,0,10,0,0,0
94874,20,9,11,0,0,0
33339,192,62,130,0,0,0
30981,10,10,0,0,0,0
94704,50,48,2,0,0,0
95011,24,24,0,0,0,0
27087,10,0,10,0,0,0
55716,10,0,10,0,0,0
54106,10,0,10,0,0,0
56530,5,0,5,0,0,0
59085,10,0,10,0,0,0
89508,10,0,10,0,0,0
91964,10,0,10,0,0,0
20426,10,0,10,0,0,0
30689,125,117,6,10,2,8
95012,24,24,0,0,0,0
58076,1,0,1,0,0,0
27741,10,0,10,0,0,0
54541,10,0,10,0,0,0
55921,10,2,8,0,0,0
59086,10,0,10,0,0,0
83544,10,0,10,0,0,0
29365,10,0,10,0,0,0
30906,8,7,1,2,0,2
95013,24,24,0,0,0,0
60879,5,1,4,0,0,0
53854,10,0,10,0,0,0
24159,10,0,10,0,0,0
80465,10,0,10,0,0,0
56775,10,1,9,0,0,0
83064,10,0,10,0,0,0
59087,10,0,10,0,0,0
31571,20,13,7,0,0,0
20427,10,0,10,0,0,0
95014,24,24,0,0,0,0
60315,10,8,2,0,0,0
55952,10,0,10,0,0,0
57179,10,0,10,0,0,0
27115,10,0,10,0,0,0
91965,10,0,10,0,0,0
28558,120,120,0,15,1,14
90121,10,0,10,0,0,0
20428,10,0,10,0,0,0
90557,50,0,50,0,0,0
59088,10,0,10,0,0,0
95015,24,24,0,0,0,0
27202,10,0,10,0,0,0
59313,10,0,10,0,0,0
80466,10,0,10,0,0,0
58645,1,0,1,0,0,0
27294,10,0,10,0,0,0
54334,10,0,10,0,0,0
29347,24,24,0,5,1,4
20429,10,0,10,0,0,0
87578,10,0,10,0,0,0
92682,15,12,3,0,0,0
95017,23,21,2,0,0,0
59089,10,0,10,0,0,0
31384,10,0,10,0,0,0
22797,10,0,10,0,0,0
56833,2,0,2,0,0,0
80467,10,0,10,0,0,0
53954,20,5,15,0,0,0
52842,10,0,10,0,0,0
29348,24,24,0,5,1,4
26457,10,0,10,5,0,5
95018,24,24,0,0,0,0
94703,15,12,3,0,0,0
59151,10,0,10,0,0,0
30974,5,2,3,0,0,0
86009,10,0,10,0,0,0
