courseTerm|crn|seatCapacity|seatActual|seatRemaining|waitlistCapacity|waitlistActual|waitlistRemaining
202205|52853|10|0|10|0|0|0
202205|57344|25|10|15|0|0|0
202302|22018|5|0|5|0|0|0
202208|93404|4|3|1|10|0|10
202208|91348|60|45|15|0|0|0
202302|27407|5|0|5|0|0|0
202205|54514|10|0|10|0|0|0
202205|57339|40|33|7|0|0|0
202208|91349|60|53|7|0|0|0
202302|28346|7|0|7|0|0|0
202302|22779|5|0|5|0|0|0
202205|57347|25|13|12|0|0|0
202205|51366|10|5|5|0|0|0
202208|84698|30|23|7|0|0|0
202302|22020|5|0|5|0|0|0
202208|88233|5|1|4|0|0|0
202205|52460|1|0|1|0|0|0
202205|55045|10|0|10|0|0|0
202302|22022|5|0|5|0|0|0
202208|89888|10|3|7|0|0|0
202302|21930|7|0|7|0|0|0
202205|53873|10|0|10|0|0|0
202205|52886|2|0|2|0|0|0
202302|30197|100|0|100|0|0|0
202302|22780|5|0|5|0|0|0
202208|88234|5|1|4|0|0|0
202208|88239|10|3|7|0|0|0
202302|28206|135|0|135|0|0|0
202205|57361|25|10|15|0|0|0
202205|57082|96|16|80|0|0|0
202208|89195|5|1|4|0|0|0
202302|32267|15|0|15|0|0|0
202205|54688|10|0|10|0|0|0
202302|25394|5|0|5|0|0|0
202208|82181|5|0|5|0|0|0
202302|25063|12|0|12|0|0|0
202205|57348|25|12|13|0|0|0
202205|57299|20|11|9|5|0|5
202208|91350|5|1|4|0|0|0
202302|32311|15|0|15|0|0|0
202205|55544|25|5|20|0|0|0
202302|22019|5|0|5|0|0|0
202302|25064|12|0|12|0|0|0
202205|51418|10|0|10|0|0|0
202208|82178|5|1|4|0|0|0
202205|57300|20|6|14|0|0|0
202208|89427|8|8|0|0|0|0
202205|56519|5|0|5|0|0|0
202302|30198|20|0|20|0|0|0
202302|25391|5|0|5|0|0|0
202205|51439|10|0|10|0|0|0
202302|25065|12|0|12|0|0|0
202208|82994|5|1|4|0|0|0
202208|82084|8|8|0|0|0|0
202205|57822|5|1|4|0|0|0
202205|57083|96|8|88|0|0|0
202302|30199|20|0|20|0|0|0
202205|51490|5|0|5|0|0|0
202302|25066|12|0|12|0|0|0
202208|89242|135|130|5|0|0|0
202302|32312|15|0|15|0|0|0
202205|55622|10|0|10|0|0|0
202205|57486|5|1|4|0|0|0
202205|52095|10|0|10|0|0|0
202208|82180|5|1|4|0|0|0
202302|25067|12|0|12|0|0|0
202208|85447|12|12|0|0|0|0
202302|30200|20|0|20|0|0|0
202205|55623|10|0|10|0|0|0
202205|56856|1|0|1|0|0|0
