courseTerm,crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
202202,31286,12,1,11,5,0,5
202202,30691,37,28,9,0,0,0
202105,58141,10,2,8,0,0,0
202105,53492,10,0,10,0,0,0
202108,86546,5,0,5,0,0,0
202105,59045,10,1,9,0,0,0
202105,60310,20,13,7,0,0,0
202108,89292,5,1,4,0,0,0
202202,22062,5,0,5,0,0,0
202202,28613,135,128,7,0,0,0
202108,92853,20,12,8,0,0,0
202105,56769,10,0,10,0,0,0
202105,53493,10,0,10,0,0,0
202202,33656,75,0,75,0,0,0
202108,82392,5,2,3,0,0,0
202108,90564,5,0,5,0,0,0
202105,55559,1,0,1,0,0,0
202105,59046,10,0,10,0,0,0
202108,92855,20,12,8,0,0,0
202202,25208,12,12,0,0,0,0
202202,33327,193,192,1,0,0,0
202202,22059,5,0,5,0,0,0
202105,57699,10,1,9,0,0,0
202202,30926,20,12,8,0,0,0
202105,53494,10,0,10,0,0,0
202108,86543,5,1,4,0,0,0
202108,93506,5,0,5,0,0,0
202105,55541,2,0,2,0,0,0
202105,60418,50,24,26,10,0,10
202202,33328,24,24,0,10,1,9
202202,22837,5,2,3,0,0,0
202202,30925,20,13,7,0,0,0
202105,53501,10,0,10,0,0,0
202108,92857,20,11,9,0,0,0
202202,25209,12,12,0,0,0,0
202105,55143,5,1,4,0,0,0
202108,90897,7,7,0,0,0,0
202105,54033,10,0,10,0,0,0
202105,59050,48,38,10,10,0,10
202202,33329,24,24,0,10,5,5
202202,22061,5,0,5,0,0,0
202202,25210,12,12,0,0,0,0
202105,54309,10,1,9,0,0,0
202202,30924,20,12,8,0,0,0
202108,82274,7,7,0,0,0,0
202105,60658,0,1,0,0,0,0
202105,54092,5,0,5,0,0,0
202202,33330,24,24,0,10,1,9
202202,22063,5,1,4,0,0,0
202202,33629,15,12,3,0,0,0
202105,60656,0,1,0,0,0,0
202202,25211,12,11,1,0,0,0
202105,55074,10,0,10,0,0,0
202108,90654,110,111,0,0,0,0
202105,56253,10,0,10,0,0,0
202202,33331,24,24,0,10,1,9
202108,90555,70,0,70,0,0,0
202202,22838,5,5,0,0,0,0
202105,60413,49,46,3,5,0,5
202202,25212,12,12,0,0,0,0
202202,30927,20,12,8,0,0,0
202105,55194,10,0,10,0,0,0
202105,58960,10,0,10,0,0,0
202108,86054,11,12,0,0,0,0
202105,54745,10,0,10,0,0,0
202108,92858,15,12,3,0,0,0
202202,25560,5,0,5,0,0,0
202202,33332,24,24,0,10,1,9
202105,60895,0,1,0,0,0,0
202202,30858,12,11,1,0,0,0
202202,30680,78,70,8,0,0,0
202105,54611,10,0,10,0,0,0
202105,58961,10,11,0,0,0,0
202108,86055,11,12,0,0,0,0
202105,60816,10,1,9,0,0,0
202202,22060,5,2,3,0,0,0
202108,94826,15,12,3,0,0,0
202202,33333,24,24,0,10,1,9
202105,59047,10,1,9,0,0,0
202202,30859,12,12,0,0,0,0
202105,53495,10,0,10,0,0,0
202202,30681,72,60,12,0,0,0
202105,59904,5,0,5,0,0,0
202108,86056,11,11,0,0,0,0
202105,56568,10,0,10,0,0,0
202105,59048,10,2,8,0,0,0
202202,25557,5,0,5,0,0,0
202202,33334,24,24,0,10,2,8
202108,92762,15,13,2,0,0,0
202105,59873,5,0,5,0,0,0
202202,33630,100,5,95,0,0,0
202202,30860,12,12,0,0,0,0
202105,55343,10,0,10,0,0,0
202105,59938,10,0,10,0,0,0
202108,86057,11,10,1,0,0,0
202202,33335,24,24,0,5,1,4
202202,31371,15,10,5,0,0,0
202108,92686,15,11,4,0,0,0
202105,53496,10,0,10,0,0,0
202202,30861,12,11,1,0,0,0
202105,57600,10,0,10,0,0,0
202202,33337,192,97,95,0,0,0
202108,92717,15,12,3,0,0,0
202202,31370,15,12,3,0,0,0
